A Recomendação ITU-R M.1544-1 define os níveis mínimos de conhecimento operacional e técnico para o radioamador?	Certo	_recomendação_itu_r_m_1544_1_092015_de_qualificações_mínimas_para_o_radioamador		
O serviço de amador é destinado à autoinstrução, intercomunicação e investigações técnicas com fins comerciais?	Errado	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
O serviço de satélite de amador utiliza estações espaciais em satélites da Terra para os mesmos fins do serviço de amador?	Certo	_recomendação_itu_r_m_1544_1_092015_de_qualificações_mínimas_para_o_radioamador		
As administrações nacionais devem verificar as qualificações operacionais e técnicas de quem deseja operar uma estação de amador?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
No Brasil, o serviço de radioamador é regulado exclusivamente pela União Internacional de Telecomunicações (UIT)?	Errado	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
Comunicações entre radioamadores de países diferentes são permitidas, a menos que uma das administrações se oponha oficialmente?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
É permitido usar uma estação de radioamador para a prestação de serviços remunerados?	Errado	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
É proibido codificar transmissões entre estações de países diferentes com o objetivo de ocultar o significado das mensagens?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
Criptografia é permitida para conversas rotineiras entre radioamadores?	Errado	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
O radioamador pode transmitir mensagens internacionais em nome de terceiros apenas em situações de emergência ou desastres?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
A UIT define um valor único de potência máxima internacional que todas as estações de amador devem respeitar?	Errado	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
Durante as transmissões, a identificação da estação por meio do indicativo de chamada é obrigatória?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
A identificação do indicativo de chamada deve ser feita em intervalos curtos para permitir a fiscalização?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
O radioamador deve seguir as regras de prevenção de interferências estabelecidas pela UIT?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
Uma administração nacional pode permitir que um estrangeiro licenciado em outro país opere temporariamente em seu território?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
Antes do lançamento de um satélite de amador, deve-se garantir que existam estações terrenas de comando suficientes para controlá-lo?	Certo	_regulamento_de_rádio_rr_da_união_internacional_de_telecomunicações_uit		
A IARU (União Internacional de Radioamadores) é a federação mundial que representa os radioamadores?	Certo	_plano_de_faixas_para_a_região_2_da_união_internacional_de_radioamadores_iaru		
A Região 2 da IARU compreende os países da Europa e da África?	Errado	_plano_de_faixas_para_a_região_2_da_união_internacional_de_radioamadores_iaru		
O Brasil pertence à Região 2 da IARU?	Certo	_plano_de_faixas_para_a_região_2_da_união_internacional_de_radioamadores_iaru		
O plano de faixas da IARU Região 2 é um guia voluntário para organizar o uso das frequências?	Certo	_plano_de_faixas_para_a_região_2_da_união_internacional_de_radioamadores_iaru		
No Brasil, o algarismo no indicativo de chamada representa a região geográfica de operação da estação?	Certo	_regiões_de_indicativos_no_brasil		
A Região 3 de indicativos no Brasil abrange o estado de São Paulo?	Errado	_regiões_de_indicativos_no_brasil		
A Região 4 de indicativos no Brasil corresponde ao estado de Minas Gerais?	Certo	_regiões_de_indicativos_no_brasil		
A Região 0 (zero) é utilizada para estações localizadas em ilhas oceânicas brasileiras e na Antártica?	Certo	_regiões_de_indicativos_no_brasil		
Segundo a LGT, telecomunicação é a transmissão de sinais por fio, radioeletricidade, meios ópticos ou qualquer outro processo eletromagnético?	Certo	_o_que_é_telecomunicação		
A definição de telecomunicação na LGT inclui a transmissão por processos eletrostáticos?	Errado	_o_que_é_telecomunicação		
Estação de telecomunicações é o conjunto de equipamentos necessários à realização de telecomunicações, incluindo terminais portáteis?	Certo	_estação_de_telecomunicações		
A Anatel é uma entidade da Administração Pública Federal indireta vinculada ao Ministério das Comunicações?	Certo	_quem_organiza_e_fiscaliza_os_serviços_de_telecomunicações		
A Anatel tem competência para outorgar autorizações e administrar o espectro de radiofrequências?	Certo	_quem_organiza_e_fiscaliza_os_serviços_de_telecomunicações		
A exploração de serviços de telecomunicações é competência exclusiva e intransferível da União, não podendo ser delegada?	Errado	_exploração_por_particulares		
O serviço de radioamadorismo é prestado em regime privado, mediante autorização?	Certo	_exploração_por_particulares		
Qualquer infração às normas de telecomunicações resulta obrigatoriamente apenas na pena de advertência?	Errado	_infrações_e_sanções_administrativas		
A utilização de equipamento que cause interferência prejudicial a outros serviços constitui infração administrativa?	Certo	_infrações_e_sanções_administrativas		
O objetivo principal do serviço de radioamador é a instrução técnica e a intercomunicação sem fins pecuniários?	Certo	_o_serviço_de_radioamador		
É assegurado ao radioamador o direito de fabricar seus próprios equipamentos?	Certo	_o_serviço_de_radioamador		
A licença de estação de radioamador autoriza a instalação e operação da estação conforme as condições regulatórias?	Certo	_licença_de_estação		
O radioamador deve efetuar o pagamento das taxas a que estiver sujeito dentro dos prazos estabelecidos?	Certo	_licença_de_estação		
Estação móvel é aquela instalada obrigatoriamente em um local fixo e definido?	Errado	_tipos_de_estação		
