Corrente elétrica é o movimento de cargas elétricas através de um condutor?	Certo	_grandezas_elétricas_fundamentais_tensão_corrente_resistência_e_potência		
A unidade de medida da corrente elétrica é o volt (V)?	Errado	_grandezas_elétricas_fundamentais_tensão_corrente_resistência_e_potência		
"Tensão elétrica é a ""força eletromotriz"" que provoca o movimento de cargas em um condutor?"	Certo	_grandezas_elétricas_fundamentais_tensão_corrente_resistência_e_potência		
O eixo central das pilhas comuns, em forma de bastão, constitui o polo positivo e é feito de carvão?	Certo	_grandezas_elétricas_fundamentais_tensão_corrente_resistência_e_potência		
Resistência elétrica é a facilidade que um material oferece à passagem de corrente?	Errado	_grandezas_elétricas_fundamentais_tensão_corrente_resistência_e_potência		
A potência elétrica é medida em watt (W)?	Certo	_grandezas_elétricas_fundamentais_tensão_corrente_resistência_e_potência		
Segundo a Lei de Ohm, a corrente é inversamente proporcional à resistência do circuito?	Certo	_lei_de_ohm		
A fórmula da Lei de Ohm é V = I / R?	Errado	_lei_de_ohm		
Em circuitos de corrente contínua, a potência pode ser calculada multiplicando-se a tensão pela corrente (P = V x I)?	Certo	_potência_elétrica_em_circuitos_cc		
O efeito Joule explica a transformação de parte da energia elétrica em calor quando a corrente passa por uma resistência?	Certo	_efeito_joule_noções_básicas		
A Lei das Tensões de Kirchhoff afirma que o somatório algébrico das tensões em uma malha fechada é igual a zero?	Certo	_leis_de_kirchhoff_correntes_e_tensões		
A corrente contínua (CC) inverte periodicamente sua polaridade ao longo do tempo?	Errado	_noções_de_ca_e_tensão_alternada		
A corrente alternada (CA) geralmente possui forma senoidal e inverte o sentido periodicamente?	Certo	_noções_de_ca_e_tensão_alternada		
A reatância indutiva (XL) aumenta conforme a frequência do sinal aumenta?	Certo	_reatância_indutiva_xl_e_reatância_capacitiva_xc		
A reatância capacitiva (XC) aumenta conforme a frequência do sinal aumenta?	Errado	_reatância_indutiva_xl_e_reatância_capacitiva_xc		
Impedância é a oposição total à corrente alternada, combinando resistência e reatância?	Certo	_impedância_em_circuitos_ca		
Para máxima transferência de sinal entre um amplificador e um alto-falante, busca-se o casamento de impedâncias?	Certo	_impedância_em_circuitos_ca		
Em um capacitor ideal operando em CA, a corrente fica atrasada de 90° em relação à tensão?	Errado	_análise_de_circuitos_rc_e_rl_fase_entre_tensão_e_corrente		
Em um indutor ideal operando em CA, a corrente fica atrasada de 90° em relação à tensão?	Certo	_análise_de_circuitos_rc_e_rl_fase_entre_tensão_e_corrente		
A constante de tempo de um circuito RC é calculada pelo produto da resistência pela capacitância (τ = R.C)?	Certo	_análise_de_circuitos_rc_e_rl_fase_entre_tensão_e_corrente		
A ressonância em um circuito RLC ocorre quando a reatância indutiva é igual à reatância capacitiva (XL = XC)?	Certo	_circuitos_rlc_e_ressonância		
Na ressonância de um circuito série, a impedância total assume seu valor máximo?	Errado	_circuitos_rlc_e_ressonância		
Corpos com cargas elétricas de mesmo sinal se atraem?	Errado	_cargas_elétricas_e_campo_elétrico_noções_básicas		
Um campo magnético é produzido por cargas elétricas em movimento (corrente elétrica)?	Certo	_campo_magnético_origem_e_características		
